URL,제목,통합 카테고리,본문글자수(공백제외),사이트내 최대유사도(%),가장 유사한 글,판정
/articles/personal-data-leak-check-guide.html,개인정보 유출 확인하는 방법,생활·건강,1455,10.0,자동차 과태료·범칙금 조회방법·미납내역 확인·납부 바로가기,유지 가능
/articles/loan-interest-calculator-guide.html,대출이자 계산기 사용방법·금리·기간별 상환액·총 이자 총정리,금융·생활경제,979,17.9,1억 만들기 계산기 사용방법·월 적립금·수익률·목표 도달 기간 총정리,부분 보강 권장
/articles/one-hundred-million-calculator-guide.html,1억 만들기 계산기 사용방법·월 적립금·수익률·목표 도달 기간 총정리,금융·생활경제,936,33.9,미래 투자가치 계산기 사용방법·수익률 계산·목표금액 도달 기간 총정리,부분 보강 권장
/articles/future-investment-value-calculator-guide.html,미래 투자가치 계산기 사용방법·수익률 계산·목표금액 도달 기간 총정리,금융·생활경제,1341,39.7,1억 만들기 계산기 사용방법·월 적립금·수익률·목표 도달 기간 총정리,유지 가능
/articles/compound-interest-calculator-guide.html,복리 계산기 사용방법·복리이자 계산·72의 법칙·단리 복리 차이 총정리,금융·생활경제,1153,24.8,1억 만들기 계산기 사용방법·월 적립금·수익률·목표 도달 기간 총정리,부분 보강 권장
/articles/retirement-pay-calculation-guide.html,퇴직금 계산방법·퇴직금 계산기·평균임금·지급기한 총정리,지원금·정책,1275,14.8,2026 근로장려금 상반기 신청 총정리｜대상·신청기간·최대 115만원·지급일,부분 보강 권장
/articles/national-pension-expected-payment-history-guide.html,국민연금 예상수령액 조회방법·납부내역·가입기간 확인·예상연금 조회 바로가기,금융·생활경제,1830,12.6,가족돌봄휴가·가족돌봄 지원 대상·신청방법·사용방법 총정리,유지 가능
/articles/vehicle-fines-penalties-lookup-payment-guide.html,자동차 과태료·범칙금 조회방법·미납내역 확인·납부 바로가기,생활·건강,2006,15.3,숨은 보험금 조회방법·내보험찾아줌 조회·보험금 청구방법,유지 가능
/articles/hidden-insurance-myinsurance-find-guide.html,숨은 보험금 조회방법·내보험찾아줌 조회·보험금 청구방법,금융·생활경제,1783,16.2,자동차 과태료·범칙금 조회방법·미납내역 확인·납부 바로가기,유지 가능
/articles/phone-identity-theft-check-block-guide.html,휴대폰 명의도용 확인방법·가입된 통신서비스 조회·명의도용 차단방법,생활·건강,2241,13.3,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,유지 가능
/articles/spouse-miscarriage-stillbirth-leave-guide.html,배우자 유산·사산휴가 신청방법·휴가기간·급여·달라진 점,지원금·정책,2014,11.8,2026 추석 고속도로 통행료 면제 총정리｜무료 기간·이용방법·귀성길 꿀팁,유지 가능
/articles/family-care-leave-support-guide.html,가족돌봄휴가·가족돌봄 지원 대상·신청방법·사용방법 총정리,지원금·정책,1910,13.4,2026 추석 고속도로 통행료 면제 총정리｜무료 기간·이용방법·귀성길 꿀팁,유지 가능
/articles/2026-single-parent-family-support.html,2026 한부모가족 지원금 신청방법·소득기준·아동양육비·신청 바로가기,지원금·정책,1996,12.1,외국인등록증 신규 발급·재발급 방법 총정리,유지 가능
/articles/2026-chuseok-onnuri-giftcard-discount.html,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,생활·건강,721,26.4,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,전면 보강 권장
/articles/2026-chuseok-stay-transport-discount.html,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,생활·건강,610,21.3,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,전면 보강 권장
/articles/2026-chuseok-wage-arrears-living-loan.html,2026 추석 임금체불 생계비 융자 총정리｜연 1.0%·신청방법·대지급금 꿀팁,지원금·정책,795,23.6,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,전면 보강 권장
/articles/2026-chuseok-agricultural-products-discount.html,2026 추석 농축산물 할인 총정리｜최대 40%·농할상품권 20%·온누리 30% 환급,지원금·정책,1215,15.3,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,부분 보강 권장
/articles/2026-earned-income-tax-credit-half-year.html,2026 근로장려금 상반기 신청 총정리｜대상·신청기간·최대 115만원·지급일,지원금·정책,1318,16.8,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,유지 가능
/articles/2026-chuseok-ktx-train-reservation.html,추석 KTX 기차표 예매 방법·일정·예약 꿀팁 총정리,생활·건강,1220,20.4,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,부분 보강 권장
/articles/car-insurance-guide.html,자동차 보험료 계산·조회·가입 방법 총정리,생활·건강,1678,12.2,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,유지 가능
/articles/driver-license-guide.html,운전면허증 신규 발급·갱신·재발급 방법 총정리,생활정보,1499,16.2,외국인등록증 신규 발급·재발급 방법 총정리,유지 가능
/articles/foreigner-registration-guide.html,외국인등록증 신규 발급·재발급 방법 총정리,생활정보,1091,17.8,주민등록증 신규·재발급 신청 방법 총정리,부분 보강 권장
/articles/health-insurance-arrears.html,건강보험료 미납 조회 및 납부 방법 총정리,생활·건강,1297,16.6,2026 온누리상품권 추석 할인 총정리｜10% 특별할인·구매방법·사용처·꿀팁,부분 보강 권장
/articles/id-card-issue.html,주민등록증 신규·재발급 신청 방법 총정리,생활정보,1803,15.1,주민등록 등본·초본 발급 방법 총정리,유지 가능
/articles/passport-issue.html,여권 최초 발급·재발급 신청 방법 총정리,생활정보,1208,16.4,주민등록 등본·초본 발급 방법 총정리,부분 보강 권장
/articles/passport-photo-guide.html,여권 사진 규격과 준비 방법 총정리,생활정보,798,18.2,외국인등록증 신규 발급·재발급 방법 총정리,전면 보강 권장
/articles/resident-copy.html,주민등록 등본·초본 발급 방법 총정리,생활정보,1253,15.7,주민등록증 신규·재발급 신청 방법 총정리,부분 보강 권장
/articles/2026-chuseok-highway-toll-free.html,2026 추석 고속도로 통행료 면제 총정리｜무료 기간·이용방법·귀성길 꿀팁,생활·건강,1169,20.7,2026 추석 숙박쿠폰·교통 할인 총정리｜숙박 할인권·KTX 10%·예약 꿀팁,부분 보강 권장
